Id,date,feature,total_steps,calories,very_active_minutes,sleep_records,minutes_asleep,time_in_bed,hr_readings
1503960366,2016-03-25,step_tracking,11004.0,1819.0,33.0,,,,
1503960366,2016-03-26,step_tracking,17609.0,2154.0,89.0,,,,
1503960366,2016-03-27,step_tracking,12736.0,1944.0,56.0,,,,
1503960366,2016-03-28,step_tracking,13231.0,1932.0,39.0,,,,
1503960366,2016-03-29,step_tracking,12041.0,1886.0,28.0,,,,
1503960366,2016-03-30,step_tracking,10970.0,1820.0,30.0,,,,
1503960366,2016-03-31,step_tracking,12256.0,1889.0,33.0,,,,
1503960366,2016-04-01,step_tracking,12262.0,1868.0,47.0,,,,
1503960366,2016-04-02,step_tracking,11248.0,1843.0,40.0,,,,
1503960366,2016-04-03,step_tracking,10016.0,1850.0,15.0,,,,
1503960366,2016-04-04,step_tracking,14557.0,2030.0,43.0,,,,
1503960366,2016-04-05,step_tracking,14844.0,2083.0,36.0,,,,
1503960366,2016-04-06,step_tracking,11974.0,1861.0,27.0,,,,
1503960366,2016-04-07,step_tracking,10198.0,1755.0,17.0,,,,
1503960366,2016-04-08,step_tracking,12521.0,1895.0,46.0,,,,
1503960366,2016-04-09,step_tracking,12432.0,1883.0,32.0,,,,
1503960366,2016-04-10,step_tracking,10057.0,1755.0,44.0,,,,
1503960366,2016-04-11,step_tracking,10990.0,1811.0,26.0,,,,
1503960366,2016-04-12,sleep_tracking,,,,1.0,327.0,346.0,
1503960366,2016-04-12,step_tracking,224.0,50.0,0.0,,,,
1503960366,2016-04-13,sleep_tracking,,,,2.0,384.0,407.0,
1503960366,2016-04-15,sleep_tracking,,,,1.0,412.0,442.0,
1503960366,2016-04-16,sleep_tracking,,,,2.0,340.0,367.0,
1503960366,2016-04-17,sleep_tracking,,,,1.0,700.0,712.0,
1503960366,2016-04-19,sleep_tracking,,,,1.0,304.0,320.0,
1503960366,2016-04-20,sleep_tracking,,,,1.0,360.0,377.0,
1503960366,2016-04-21,sleep_tracking,,,,1.0,325.0,364.0,
1503960366,2016-04-23,sleep_tracking,,,,1.0,361.0,384.0,
1503960366,2016-04-24,sleep_tracking,,,,1.0,430.0,449.0,
1503960366,2016-04-25,sleep_tracking,,,,1.0,277.0,323.0,
1503960366,2016-04-26,sleep_tracking,,,,1.0,245.0,274.0,
1503960366,2016-04-28,sleep_tracking,,,,1.0,366.0,393.0,
1503960366,2016-04-29,sleep_tracking,,,,1.0,341.0,354.0,
1503960366,2016-04-30,sleep_tracking,,,,1.0,404.0,425.0,
1503960366,2016-05-01,sleep_tracking,,,,1.0,369.0,396.0,
1503960366,2016-05-02,sleep_tracking,,,,1.0,277.0,309.0,
1503960366,2016-05-03,sleep_tracking,,,,1.0,273.0,296.0,
1503960366,2016-05-05,sleep_tracking,,,,1.0,247.0,264.0,
1503960366,2016-05-06,sleep_tracking,,,,1.0,334.0,367.0,
1503960366,2016-05-07,sleep_tracking,,,,1.0,331.0,349.0,
1503960366,2016-05-08,sleep_tracking,,,,1.0,594.0,611.0,
1503960366,2016-05-09,sleep_tracking,,,,1.0,338.0,342.0,
1503960366,2016-05-10,sleep_tracking,,,,1.0,383.0,403.0,
1503960366,2016-05-11,sleep_tracking,,,,1.0,285.0,306.0,
1624580081,2016-03-25,step_tracking,1810.0,1373.0,0.0,,,,
1624580081,2016-03-26,step_tracking,815.0,1264.0,0.0,,,,
1624580081,2016-03-27,step_tracking,1985.0,1350.0,0.0,,,,
1624580081,2016-03-28,step_tracking,1905.0,1342.0,0.0,,,,
1624580081,2016-03-29,step_tracking,1552.0,1300.0,0.0,,,,
1624580081,2016-03-30,step_tracking,1675.0,1313.0,0.0,,,,
